Time,PlayerID,GSF,StrategyMode,MySoldiers,EnemySoldiers
6.18,1,329.00,Aggressive,0,1.00
6.23,1,329.00,Aggressive,0,1.00
6.29,1,329.00,Aggressive,0,1.00
6.34,1,329.00,Aggressive,0,1.00
6.40,1,329.00,Aggressive,0,1.00
6.46,1,329.00,Aggressive,0,1.00
6.51,1,319.00,Aggressive,0,2.00
6.57,1,319.00,Aggressive,0,2.00
6.61,1,319.00,Aggressive,0,2.00
6.66,1,319.00,Aggressive,0,2.00
6.72,1,319.00,Aggressive,0,2.00
6.78,1,319.00,Aggressive,0,2.00
6.84,1,319.00,Aggressive,0,2.00
6.89,1,319.00,Aggressive,0,2.00
6.95,1,319.00,Aggressive,0,2.00
7.01,1,309.00,Aggressive,0,3.00
7.07,1,309.00,Aggressive,0,3.00
7.12,1,309.00,Aggressive,0,3.00
7.17,1,309.00,Aggressive,0,3.00
7.22,1,309.00,Aggressive,0,3.00
7.27,1,309.00,Aggressive,0,3.00
7.31,1,309.00,Aggressive,0,3.00
7.36,1,299.00,Aggressive,0,4.00
7.41,1,299.00,Aggressive,0,4.00
7.46,1,299.00,Aggressive,0,4.00
7.51,1,289.00,Aggressive,0,5.00
7.56,1,289.00,Aggressive,0,5.00
7.60,1,289.00,Aggressive,0,5.00
7.62,1,279.00,Aggressive,0,6.00
7.66,1,274.00,Aggressive,0,6.50
7.70,1,264.00,Aggressive,0,7.50
7.73,1,254.00,Aggressive,0,8.50
7.76,1,249.00,Aggressive,0,9.00
7.80,1,234.00,Aggressive,0,10.50
7.84,1,204.00,Aggressive,0,13.50
7.87,1,184.00,Aggressive,0,15.50
7.91,1,154.00,Aggressive,0,18.50
7.94,1,169.00,Aggressive,0,17.00
7.98,1,149.00,Aggressive,0,19.00
8.01,1,184.00,Aggressive,0,15.50
8.04,1,184.00,Aggressive,0,15.50
8.08,1,239.00,Aggressive,0,10.00
8.11,1,239.00,Aggressive,0,10.00
8.14,1,244.00,Aggressive,0,9.50
8.17,1,244.00,Aggressive,0,9.50
8.20,1,249.00,Aggressive,0,9.00
8.24,1,244.00,Aggressive,0,9.50
8.27,1,234.00,Aggressive,0,10.50
8.30,1,219.00,Aggressive,0,12.00
8.34,1,219.00,Aggressive,0,12.00
8.37,1,219.00,Aggressive,0,12.00
8.41,1,189.00,Aggressive,0,15.00
8.43,1,144.00,Aggressive,0,19.50
8.47,1,129.00,Aggressive,0,21.00
8.50,1,114.00,Aggressive,0,22.50
8.53,1,129.00,Aggressive,0,21.00
8.56,1,129.00,Aggressive,0,21.00
8.60,1,159.00,Aggressive,0,18.00
8.63,1,177.00,Aggressive,2,18.00
8.66,1,194.00,Aggressive,4,18.00
8.69,1,241.00,Aggressive,6,15.00
8.72,1,268.00,Aggressive,6,12.00
0.01,1,-1000.00,Defensive,0,0.00
0.01,1,-1000.00,Defensive,0,0.00
0.05,1,-1000.00,Defensive,0,0.00
0.12,1,-1000.00,Defensive,0,0.00
0.18,1,-1000.00,Defensive,0,0.00
0.25,1,-1000.00,Defensive,0,0.00
0.31,1,-1000.00,Defensive,0,0.00
0.37,1,-1000.00,Defensive,0,0.00
0.44,1,-1000.00,Defensive,0,0.00
0.50,1,-1000.00,Defensive,0,0.00
0.58,1,-1000.00,Defensive,0,0.00
0.64,1,-1000.00,Defensive,0,0.00
0.70,1,-1000.00,Defensive,0,0.00
0.77,1,-1000.00,Defensive,0,0.00
0.83,1,-1000.00,Defensive,0,0.00
0.89,1,-1000.00,Defensive,0,0.00
0.95,1,-1000.00,Defensive,0,0.00
1.03,1,-1000.00,Defensive,0,0.00
1.09,1,-1000.00,Defensive,0,0.00
1.15,1,-1000.00,Defensive,0,0.00
1.22,1,-1000.00,Defensive,0,0.00
1.29,1,-1000.00,Defensive,0,0.00
1.35,1,-1000.00,Defensive,0,0.00
1.42,1,-1000.00,Defensive,0,0.00
1.49,1,-1000.00,Defensive,0,0.00
1.55,1,0.00,Economic,0,0.00
1.62,1,0.00,Economic,0,0.00
1.69,1,0.00,Economic,0,0.00
1.74,1,0.00,Economic,0,0.00
1.82,1,0.00,Economic,0,0.00
1.89,1,0.00,Economic,0,0.00
1.95,1,0.00,Economic,0,0.00
2.02,1,0.00,Economic,0,0.00
2.09,1,0.00,Economic,0,0.00
2.15,1,0.00,Economic,0,0.00
2.21,1,0.00,Economic,0,0.00
2.28,1,0.00,Economic,0,0.00
2.34,1,0.00,Economic,0,0.00
2.41,1,0.00,Economic,0,0.00
2.48,1,0.00,Economic,0,0.00
