Opponent,Win,Duration,Workers,Soldiers,Towers,Wood,Stone,Meat
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,0.05,0,0,0,0,0,0
EliteCommander,False,3.75,0,0,0,0,0,0
EliteCommander,False,92.60,2,0,2,50,50,10
EliteCommander,False,3750.00,2,0,96,1208000,758460,0
EliteCommander,False,37.50,2,0,2,0,660,30
EliteCommander,False,37.50,2,0,2,40,10,0
EliteCommander,False,37.50,2,0,2,0,20,10
EliteCommander,False,37.50,3,0,2,40,0,680
EliteCommander,False,37.50,2,0,2,520,520,0
EliteCommander,False,37.50,3,0,2,0,0,640
EliteCommander,True,276.70,7,0,3,10450,250,7700
EliteCommander,False,60.81,2,0,4,920,910,0
EliteCommander,False,125.39,2,0,2,50,80,50
EliteCommander,False,67.09,2,0,2,30,0,130
EliteCommander,False,103.48,2,0,2,30,30,40
EliteCommander,False,107.87,2,0,2,20,0,20
EliteCommander,False,85.76,2,0,3,150,1580,0
EliteCommander,False,64.92,2,0,2,10,20,70
EliteCommander,True,342.20,3,0,3,27180,280,420
EliteCommander,False,375.00,5,0,7,1280,5350,1040
EliteCommander,False,375.00,2,0,3,210,4230,200
EliteCommander,False,81.59,2,0,2,50,20,70
EliteCommander,True,2293.53,2,0,54,226860,331260,60
EliteCommander,True,303.61,2,0,4,450,330,190
EliteCommander,True,244.87,7,0,3,11380,240,28540
EliteCommander,True,388.70,2,0,38,7660,75740,220
EliteCommander,True,268.16,10,0,6,9820,710,51740
EliteCommander,True,272.30,8,0,6,850,16380,57140
EliteCommander,False,109.98,2,0,3,3680,100,70
EliteCommander,False,710.35,114,0,5,314600,670,417450
EliteCommander,False,109.52,2,0,2,60,110,50
EliteCommander,False,37.50,2,0,2,740,30,40
EliteCommander,False,37.50,2,0,2,590,0,10
EliteCommander,False,37.50,2,0,2,20,0,30
EliteCommander,False,37.50,2,0,2,20,0,20
EliteCommander,False,375.00,7,0,4,320,18110,20600
EliteCommander,True,276.69,8,0,5,540,6430,62030
EliteCommander,False,167.24,2,0,2,80,890,360
EliteCommander,True,442.01,9,0,6,164240,830,37800
EliteCommander,False,104.39,2,0,3,110,150,50
EliteCommander,False,375.00,5,0,39,91310,7720,1700
EliteCommander,False,118.77,2,0,3,7890,100,60
