Episode,Reward,Steps,WinRate
890,9640.70,433,0.99
891,8976.60,499,0.99
892,3069.90,1056,0.99
893,8763.40,516,0.99
894,4244.10,944,0.99
895,6556.60,744,0.99
896,4405.90,966,0.99
897,10233.10,384,0.99
898,9219.40,486,0.99
899,6848.30,692,0.99
900,8940.80,487,1.00
901,8266.40,556,1.00
902,9234.20,463,1.00
903,10204.20,378,1.00
904,9751.60,419,1.00
905,9828.00,410,1.00
906,9323.80,452,1.00
907,9713.00,395,1.00
908,7660.60,624,1.00
909,8686.50,530,1.00
910,8795.00,525,1.00
911,10295.00,365,1.00
912,7760.50,620,1.00
913,8889.00,505,1.00
914,10670.70,333,1.00
915,9118.40,471,1.00
916,9767.80,422,1.00
917,10677.70,328,1.00
918,8544.00,510,1.00
919,9751.30,422,1.00
920,8013.50,600,1.00
921,10298.70,368,1.00
922,8535.10,534,1.00
923,9829.90,411,1.00
924,9472.50,445,1.00
925,4078.00,940,1.00
926,9240.60,464,1.00
927,7533.10,649,1.00
928,7978.90,581,1.00
929,8720.10,514,1.00
930,9570.00,435,1.00
931,7129.60,669,1.00
932,8435.50,550,1.00
933,8133.80,577,1.00
934,8646.80,512,1.00
935,7179.50,650,1.00
936,8239.40,576,1.00
937,5814.10,794,1.00
938,7785.70,613,1.00
939,7685.10,624,1.00
940,8686.00,515,1.00
941,4295.50,945,1.00
942,4889.50,910,1.00
943,8821.80,502,1.00
944,4247.50,965,1.00
945,2073.90,1156,1.00
946,9956.60,399,1.00
947,8405.30,557,1.00
948,9709.60,419,1.00
949,10018.30,387,1.00
950,8760.90,516,1.00
951,9812.80,412,1.00
952,9714.90,431,1.00
953,8768.10,519,1.00
954,9773.90,416,1.00
955,8139.40,576,1.00
956,8514.90,546,1.00
957,8323.00,560,1.00
958,6843.60,674,1.00
959,3117.90,1046,1.00
960,7152.50,660,1.00
961,5252.40,851,1.00
962,10006.30,392,1.00
963,4055.60,944,1.00
964,10107.70,378,1.00
965,6118.00,745,1.00
966,10165.30,372,1.00
967,8403.90,556,1.00
968,7854.80,597,1.00
969,8877.50,505,1.00
970,9177.90,476,1.00
971,9692.10,434,1.00
972,8178.60,579,1.00
973,9891.00,400,1.00
974,9965.30,397,1.00
975,9019.80,487,1.00
976,8292.10,559,1.00
977,8677.10,519,1.00
978,9165.00,475,1.00
979,7352.70,643,1.00
980,10535.40,341,1.00
981,8756.30,517,1.00
982,9447.60,449,1.00
983,7095.40,671,1.00
984,9776.50,415,1.00
985,9798.10,409,1.00
986,9130.90,476,1.00
987,8717.80,522,1.00
988,9598.50,430,1.00
989,8652.70,523,1.00
990,7426.20,643,1.00
991,8742.60,514,1.00
992,8324.90,536,1.00
993,9158.80,477,1.00
994,7016.60,689,1.00
995,8512.30,542,1.00
996,8393.70,543,1.00
997,6518.60,729,1.00
998,3063.80,1052,1.00
999,9539.50,440,1.00
1000,8089.10,559,1.00
1001,9108.70,483,1.00
1002,10341.00,365,1.00
1003,10499.20,353,1.00
1004,8124.80,552,1.00
1005,10342.70,368,1.00
1006,9784.00,415,1.00
1007,10051.60,394,1.00
1008,9447.50,445,1.00
1009,8942.70,498,1.00
1010,8715.10,524,1.00
1011,7936.70,593,1.00
1012,9113.70,473,1.00
1013,9635.60,434,1.00
1014,9724.90,421,1.00
1015,9603.00,435,1.00
1016,9218.70,463,1.00
1017,6842.30,707,1.00
1018,9238.50,475,1.00
1019,8740.60,514,1.00
1020,10177.40,376,1.00
1021,9283.40,461,1.00
1022,5789.70,803,1.00
1023,8239.60,564,1.00
1024,7793.00,605,1.00
1025,9158.80,482,1.00
1026,8663.80,517,1.00
1027,8551.10,544,1.00
1028,4710.00,885,1.00
1029,6656.60,719,1.00
1030,8959.90,491,1.00
1031,7904.30,602,1.00
1032,9549.60,439,1.00
1033,9718.40,426,1.00
1034,9411.80,457,1.00
1035,7502.10,609,1.00
1036,9007.20,483,1.00
1037,10161.70,383,1.00
1038,9838.50,415,1.00
1039,7915.70,598,1.00
1040,9072.50,485,1.00
1041,9840.10,404,1.00
1042,9335.30,467,1.00
1043,10507.80,357,1.00
1044,8145.70,568,1.00
1045,8622.50,535,1.00
1046,8554.40,546,1.00
1047,3962.80,987,1.00
1048,8886.50,485,1.00
1049,8081.20,588,1.00
1050,9939.30,417,1.00
